solver_id,n_solves,n_competitions,career_years,last_avg_s,preferred_model,aicc_preferred_model,consensus_model,consensus_type,clear_discrimination,hybrid_w,effect_pct,effect_vs,runs_z,runs_p,hetero_rho,hetero_p,hetero_decreasing,n_outliers,pct_outliers,bic_power_law,aicc_power_law,rss_power_law,r2_power_law,adj_r2_power_law,mae_power_law,med_ae_power_law,max_rel_se_power_law,params_ident_power_law,bic_exponential,aicc_exponential,rss_exponential,r2_exponential,adj_r2_exponential,mae_exponential,med_ae_exponential,max_rel_se_exponential,params_ident_exponential,bic_hybrid,aicc_hybrid,rss_hybrid,r2_hybrid,adj_r2_hybrid,mae_hybrid,med_ae_hybrid,max_rel_se_hybrid,params_ident_hybrid,cv_preferred,outlier_preferred,smooth_preferred,w_profile_best,w_profile_identifiable,w_profile_rss_range_pct,boundary_warnings,asymptote_warnings,se_warnings,params_power_law,param_se_power_law,params_exponential,param_se_exponential,params_hybrid,param_se_hybrid,skill_tier
2017GARR05,3933,268,8.944558521560575,5.925,hybrid,hybrid,hybrid,consensus,True,0.9203234013693103,1.9688501994619416,power_law,-1.4419604574453766,0.1493135291111522,-0.0625809614526372,8.591134049022178e-05,True,128,3.254513094330028,2737.494383600756,2718.6690187079957,7839.07628090386,0.4007927759443958,0.4003352494307366,0.9586825352496631,0.7281599432602119,0.2672142355513294,True,2743.6078229872232,2724.782458094463,7851.270784644567,0.3998606463830333,0.39940240813898875,0.9506095061023023,0.7269336129153201,0.04079073836686654,True,2684.1185345390872,2646.476983727217,7684.73661191131,0.4125902685704048,0.41169254610770034,0.941586921103515,0.7175445261189557,620680.633066897,False,hybrid,hybrid,hybrid,0.11137931034482758,False,8.545675511260195e-08,power_law: param(s) ['c'] hit LOWER bound,,hybrid: max_rel_SE=620681x (>100.0x),"{""a"": 18.846262060759095, ""b"": 0.1879980938343069, ""c"": 2.000000000000003}","{""a"": 0.3883871833622661, ""b"": 0.016018648305147615, ""c"": 0.5344284711026596}","{""a"": 5.5346852795450685, ""b"": 0.0022658524743881265, ""c"": 6.268839286848423}","{""a"": 0.1348669648866709, ""b"": 9.242579546068323e-05, ""c"": 0.03032540885299956}","{""w"": 0.9203234013693103, ""a"": 10.863892708033946, ""b"": 0.1932129186266164, ""d"": 35.43354557078635, ""g"": 0.002269715760648887, ""c"": 4.070921110908998}","{""w"": 49453.72191562117, ""a"": 583772.9590415481, ""b"": 0.06077944876192241, ""d"": 21992915.496680416, ""g"": 0.00030997416025744644, ""c"": 1.2419832915242324}",T1_fast
2013WALL03,3512,297,12.747433264887064,8.456666666666667,hybrid,hybrid,hybrid,consensus,True,0.8191702064781734,1.617878134474282,power_law,-1.5251932577118412,0.12721090178586214,-0.06545226569722754,0.00010376191324212123,True,88,2.5056947608200457,3898.6259214734882,3880.140940114354,10583.53011023684,0.34758187864360734,0.3470239384029947,1.194140690559601,0.9417655707148707,0.1895696287005645,True,3930.9728932834914,3912.4879119243574,10681.459088527346,0.3415450800161961,0.3409819771769853,1.1992824679658949,0.9579513709752998,0.04762607850917807,True,3865.8332075112853,3828.8735275459508,10412.301490727816,0.3581372087743804,0.3570384422273466,1.1829408224993714,0.9578211942952688,572725.1343824796,False,hybrid,hybrid,hybrid,0.8886206896551724,True,1.644544990016611,,,hybrid: max_rel_SE=572725x (>100.0x),"{""a"": 20.615197584133387, ""b"": 0.19022527062804157, ""c"": 3.609325427602826}","{""a"": 0.4911556604693451, ""b"": 0.018824471381866728, ""c"": 0.684218481170174}","{""a"": 7.0486972195853035, ""b"": 0.0037967202015463785, ""c"": 8.46537940002438}","{""a"": 0.21582891981147398, ""b"": 0.0001808228943962302, ""c"": 0.035187444276783414}","{""w"": 0.8191702064781734, ""a"": 16.09945205885616, ""b"": 0.1210713210805475, ""d"": 20.544770131280032, ""g"": 0.005703321040227605, ""c"": 3.225436610867803}","{""w"": 103565.76800860142, ""a"": 2035416.0211948196, ""b"": 0.0531981212003579, ""d"": 11766506.23429451, ""g"": 0.0009133764307482124, ""c"": 2.745385360284557}",T1_fast
2009LIUE01,3504,267,17.037645448323065,8.9375,hybrid,hybrid,hybrid,consensus,True,0.7021855308504562,1.393901772690358,power_law,-1.0714849242866427,0.28395144574358566,-0.10388992533759206,7.083425817019814e-10,True,57,1.6267123287671232,4027.8046162169153,4009.3264920036036,10983.61996459088,0.6386954697013396,0.6383857801039408,1.2980764630764468,1.0204521600083378,0.027586475956509236,True,5093.297657877257,5074.819533663946,14886.937242102056,0.5102964336727518,0.509876687758757,1.4483846633108033,1.1463030019883504,0.03326556629194883,True,4003.103675753485,3966.1577336302234,10830.519091198876,0.6437316999539833,0.6431204303513879,1.2959363494999996,1.0284099417710726,885156.1157741721,False,power_law,power_law,hybrid,0.04379310344827586,True,1.4136065638875357,,,hybrid: max_rel_SE=885156x (>100.0x),"{""a"": 48.19969399127746, ""b"": 0.3568980894978867, ""c"": 6.340114866231804}","{""a"": 0.9980156725507905, ""b"": 0.008567531211296931, ""c"": 0.17490142631881045}","{""a"": 14.948133447522734, ""b"": 0.006529561983485797, ""c"": 9.746302753739768}","{""a"": 0.3354449897154427, ""b"": 0.00021720957701903566, ""c"": 0.03834886674379947}","{""w"": 0.7021855308504562, ""a"": 48.92938671481951, ""b"": 0.2439193070602145, ""d"": 55.80047319949051, ""g"": 0.12462002109858847, ""c"": 4.162209781209172}","{""w"": 263612.29658877, ""a"": 18368917.181554243, ""b"": 0.024346794580342564, ""d"": 49392130.11562181, ""g"": 0.015228751433225307, ""c"": 0.7357819171543274}",T1_fast
2012MAHV01,3473,242,13.71937029431896,8.539166666666667,power_law,power_law,hybrid,consensus,True,0.9999539030071539,0.0,power_law,-3.0947758580694704,0.0019696168066021015,-0.12254694933053605,4.270949190396236e-13,True,86,2.476245321048085,2939.912855543998,2921.46145180606,8040.422565397898,0.6421133856990312,0.6418038844471134,1.0833232681453182,0.8519318580598654,0.020374308392733905,True,3144.8360982434,3126.384694505462,8529.121071787578,0.6203609650466115,0.620032652246133,1.1373205289615138,0.9079173321778926,0.026581313025679107,True,2964.371184173398,2927.4787752868237,8040.422580379448,0.6421133850321886,0.6414938467489206,1.083329703367508,0.8519515007371101,3625845153.2236104,False,hybrid,hybrid,hybrid,0.04379310344827586,True,9.297364615396715,hybrid: param(s) ['w'] hit UPPER bound; hybrid: param(s) ['g'] hit LOWER bound,,hybrid: max_rel_SE=3625845153x (>100.0x),"{""a"": 46.94265752304653, ""b"": 0.41921502150588846, ""c"": 6.359428542379859}","{""a"": 0.9564241811490403, ""b"": 0.00823158191591722, ""c"": 0.10725004972968358}","{""a"": 21.24215880996862, ""b"": 0.015342427360427508, ""c"": 8.597917332177893}","{""a"": 0.3944235051744944, ""b"": 0.00040782186424126725, ""c"": 0.027661816777013213}","{""w"": 0.9999539030071539, ""a"": 46.943608827800134, ""b"": 0.41920169578472793, ""d"": 18.983280790579073, ""g"": 1.000000000000006e-08, ""c"": 6.358417425839034}","{""w"": 167103.42822128048, ""a"": 7844799.416969426, ""b"": 0.012663276265370465, ""d"": 9746172.274811557, ""g"": 36.25845153223632, ""c"": 3172403.601370922}",T1_fast
2014ZAKR01,3240,233,12.303901437371664,9.2425,power_law,power_law,power_law,bic_only,True,0.6835847294201242,0.0,power_law,-0.20166866784186024,0.8401757587345444,-0.08581729586539354,9.984298543950525e-07,True,65,2.006172839506173,3259.6798492041503,3241.43727994145,8794.818962243007,0.2435964962678956,0.24289525692574587,1.1674866908286372,0.9115376004897069,0.07396086508272876,True,3354.67759268122,3336.43502341852,9056.503197447895,0.22109019190504242,0.22036808763301374,1.175368289275436,0.9178022368720153,0.0666526631068456,True,3283.931177063521,3247.457187470809,8794.822605125668,0.24359618295966035,0.2421924022908567,1.1674923650326943,0.9115374317295784,1283982.2510012924,False,exponential,power_law,hybrid,0.14517241379310344,False,0.591425889251417,hybrid: param(s) ['g'] hit LOWER bound,,hybrid: max_rel_SE=1283982x (>100.0x),"{""a"": 16.91019584703965, ""b"": 0.3003214721125417, ""c"": 7.311189176345537}","{""a"": 0.8074218669575405, ""b"": 0.02221203588036218, ""c"": 0.24880696362778104}","{""a"": 5.418263700780728, ""b"": 0.004977092483933148, ""c"": 9.104369340710681}","{""a"": 0.23718796859785798, ""b"": 0.00033173646858320946, ""c"": 0.03388767234625867}","{""w"": 0.6835847294201242, ""a"": 24.737229500386533, ""b"": 0.3003204605012074, ""d"": 2.8215986821220014, ""g"": 1.0000000637927658e-08, ""c"": 6.418449850619437}","{""w"": 398092.7367897281, ""a"": 14405985.029075757, ""b"": 0.03683848223414116, ""d"": 1484988.75379469, ""g"": 0.012839823329100714, ""c"": 1146300.0497418966}",T1_fast
2012PARK03,3107,203,13.760438056125942,6.519166666666667,hybrid,hybrid,hybrid,consensus,True,0.7917003120615358,10.786830369779867,exponential,-5.183402118376741,2.1787459363491545e-07,-0.14457747999118867,5.579932599919591e-16,True,42,1.3517862890247827,665.7995740410122,647.6830697633648,3819.7436984310298,0.7077180949281401,0.7074355149361273,0.6858745477376678,0.5223858226084106,0.11155154782306498,True,532.6593557731928,514.5428514955454,3659.5186782981477,0.7199783086550067,0.7197075819150662,0.7144808217525584,0.5750845098437631,0.022549404232515065,True,202.14590520382706,165.9245245216623,3264.7726061197163,0.7501837734989796,0.7497002582218808,0.6514795724020334,0.4986808645998817,439331.09776507743,False,hybrid,hybrid,hybrid,0.14517241379310344,False,2.244421541067662e-09,power_law: param(s) ['c'] hit LOWER bound; hybrid: param(s) ['c'] hit LOWER bound,,hybrid: max_rel_SE=439331x (>100.0x),"{""a"": 28.96566441279508, ""b"": 0.26667274538435803, ""c"": 2.0000000000000004}","{""a"": 0.48161393977030675, ""b"": 0.008738958528723025, ""c"": 0.22310309564613}","{""a"": 11.303351779562744, ""b"": 0.006027909327620277, ""c"": 6.009310107586194}","{""a"": 0.16962444261372708, ""b"": 0.0001359257641054577, ""c"": 0.02196605937252416}","{""w"": 0.7917003120615358, ""a"": 17.152107945070828, ""b"": 0.16447778601776256, ""d"": 35.10239763413665, ""g"": 0.008230731717725358, ""c"": 2.0000000019477837}","{""w"": 91512.52966639507, ""a"": 1982609.8164478722, ""b"": 0.028456390588194616, ""d"": 15421574.886791512, ""g"": 0.0004513472734171467, ""c"": 0.8713554952029292}",T1_fast
2015KUCA01,3040,213,10.614647501711156,7.4375,hybrid,hybrid,hybrid,consensus,True,0.8989073852178244,1.7549942759051054,exponential,-0.17411662379814216,0.86177380885062,-0.1582086491115934,1.7128202387549465e-18,True,61,2.0065789473684212,3115.0118674694877,3096.9609342246267,8403.248693011707,0.4779338164877168,0.4774179408123095,1.1664642029490842,0.9197235116877001,0.3607212815857471,True,3025.230899768357,3007.179966523496,8158.70264856588,0.4931266573497314,0.49262579436292275,1.1604345629477073,0.8977261741759373,0.03779038855914672,True,2995.464200830956,2959.374219415692,8015.51788409543,0.5020222554993324,0.5010371363212895,1.147623773887196,0.9214351743461009,560791.6674907794,False,hybrid,hybrid,hybrid,0.11137931034482758,True,3.621353022636526,power_law: param(s) ['c'] hit LOWER bound,,hybrid: max_rel_SE=560792x (>100.0x),"{""a"": 24.9115855314361, ""b"": 0.18927198016820537, ""c"": 2.000000000000001}","{""a"": 0.48229653338358075, ""b"": 0.01586349016154378, ""c"": 0.7214425631714946}","{""a"": 8.318293208513664, ""b"": 0.003535034347395699, ""c"": 7.952238865100777}","{""a"": 0.1955927764438519, ""b"": 0.00013359032155801313, ""c"": 0.037512877879766}","{""w"": 0.8989073852178244, ""a"": 13.32437639475416, ""b"": 0.11031305912937643, ""d"": 52.89166932640857, ""g"": 0.004164680329063845, ""c"": 2.7470663237956945}","{""w"": 56691.8959354056, ""a"": 840336.0233539457, ""b"": 0.06432420619947854, ""d"": 29661207.437927574, ""g"": 0.000444344610386512, ""c"": 3.8428447868607223}",T1_fast
2014SEBA01,2964,191,12.073921971252567,6.860833333333333,hybrid,hybrid,hybrid,consensus,True,0.6527896243925951,8.182338996703052,power_law,-2.1088415882607845,0.03495825750038058,-0.18339297941631036,7.835422176320783e-24,True,46,1.5519568151147098,1952.6523021339146,1934.677525282775,5681.628454428721,0.5815855661003289,0.5811614974173225,0.9596338575580451,0.6908336312258707,0.042618718088306876,True,2693.5887248656513,2675.6139480145116,7295.198861277687,0.46275675605860356,0.4622122527708251,0.9677539301459503,0.7077142987750222,0.0438450110432733,True,1723.611782230978,1687.6744194819105,5216.738353754223,0.615821653493136,0.6150421235374237,0.9266690451696535,0.677227228137145,602084.7966001472,False,hybrid,hybrid,hybrid,0.8210344827586207,True,6.894916305180653,,,hybrid: max_rel_SE=602085x (>100.0x),"{""a"": 29.643180970698403, ""b"": 0.31765861114538024, ""c"": 4.582488817990677}","{""a"": 0.7149073094050851, ""b"": 0.011117063649400922, ""c"": 0.19529979907676326}","{""a"": 6.255934257496879, ""b"": 0.002123868123294426, ""c"": 7.010677575809054}","{""a"": 0.1450125261554453, ""b"": 9.312102132030024e-05, ""c"": 0.04668997416263955}","{""w"": 0.6527896243925951, ""a"": 52.853353113656006, ""b"": 0.7271197960717357, ""d"": 11.150769512439327, ""g"": 0.001091511733169232, ""c"": 6.510799128043797}","{""w"": 209050.0877757943, ""a"": 16925817.61465455, ""b"": 0.03425694166835942, ""d"": 6713708.793832154, ""g"": 9.735760186265906e-05, ""c"": 0.10095867144411941}",T1_fast
2013BURL01,2847,198,12.668035592060233,8.251666666666667,hybrid,hybrid,hybrid,consensus,True,0.605691197886113,2.732738399918041,power_law,-0.193613248904706,0.8464787233706621,-0.12035292532483464,1.176652244229638e-10,True,65,2.2831050228310503,5493.876472499848,5476.022851024859,19445.030924044582,0.4699980264360779,0.4694387559750537,1.2001978397652482,0.9127475216663576,0.03752936193321167,True,5796.458919199773,5778.605297724784,21625.49001866108,0.41056651265056165,0.4099445286681317,1.3594426440070708,1.0720854625291087,0.04497156978995573,True,5438.8546510363185,5403.160101977439,18913.649097107278,0.4844815938879826,0.4833924704947882,1.1788630647803728,0.9120007499572855,1156496.8130533448,False,power_law,power_law,hybrid,0.24655172413793103,True,2.809515101018862,,,hybrid: max_rel_SE=1156497x (>100.0x),"{""a"": 52.57434518171173, ""b"": 0.41650076136709463, ""c"": 5.633622144742588}","{""a"": 1.6474448117470053, ""b"": 0.013348364794948366, ""c"": 0.21142624446500075}","{""a"": 24.605365547571953, ""b"": 0.018987578176432766, ""c"": 8.442085461564558}","{""a"": 0.7746098372126938, ""b"": 0.0008539011971036865, ""c"": 0.05370544513306371}","{""w"": 0.605691197886113, ""a"": 44.057753168765785, ""b"": 0.23794312085924701, ""d"": 54.500796050010806, ""g"": 0.06639891621685667, ""c"": 3.513319123890904}","{""w"": 456016.8715212112, ""a"": 33170498.071330562, ""b"": 0.05115305261822803, ""d"": 63029996.94070782, ""g"": 0.0066040534758219065, ""c"": 1.297335957191213}",T1_fast
2010WEYE02,2838,186,15.904175222450377,6.926666666666667,hybrid,hybrid,hybrid,consensus,True,0.807204443453644,1.1055777241500704,power_law,-1.1870953884847322,0.23518999713739863,-0.1942356020104623,1.5852226798028467e-25,True,59,2.0789288231148695,1649.396327344264,1631.5522313667286,5032.301870856861,0.5475675905234244,0.5470886571330116,0.8711674683778937,0.6501669057724504,0.12710388521938945,True,1878.8744335010877,1861.0303375235524,5456.112833265574,0.5094645872048831,0.5089453189485721,0.9034532578846981,0.6591397177819225,0.03756951558264357,True,1641.6978623656732,1606.022404713525,4976.66586236068,0.5525695824594329,0.5516213018146984,0.8641838994998955,0.6382867059081208,565731.4566342385,False,hybrid,hybrid,hybrid,0.4493103448275862,False,0.6231655787019152,,,hybrid: max_rel_SE=565731x (>100.0x),"{""a"": 23.48212847609533, ""b"": 0.23219019460962023, ""c"": 3.021331892584859}","{""a"": 0.48793052947785803, ""b"": 0.013432508833665252, ""c"": 0.3840230220847866}","{""a"": 7.680408697751068, ""b"": 0.00434103971556849, ""c"": 7.221004137225388}","{""a"": 0.18360346688553503, ""b"": 0.000163090759238925, ""c"": 0.031687743010789485}","{""w"": 0.807204443453644, ""a"": 22.346120860857646, ""b"": 0.259492533034288, ""d"": 11.49083082870496, ""g"": 0.004546844649103882, ""c"": 4.5818949306646894}","{""w"": 109070.51000032197, ""a"": 3019436.855153647, ""b"": 0.030073544026558423, ""d"": 6500724.4626608705, ""g"": 0.0009175284116144904, ""c"": 0.6170235917766025}",T1_fast
2010HULL01,3424,238,15.868583162217659,9.3925,power_law,power_law,power_law,consensus,True,0.7655663581862258,0.0,power_law,-1.0987249433727972,0.2718880592435785,-0.0937198228091383,3.92698039124324e-08,True,57,1.6647196261682242,2717.8914865838856,2699.4828099159604,7519.16748971079,0.3286396276825617,0.32805071507526573,1.0751301677675908,0.8358219024833415,0.041557977649599925,True,3025.033695417968,3006.6250187500427,8224.83448944419,0.2656330700654541,0.26498888854796765,1.1478930838507397,0.9296729779930448,0.0568746126462381,True,2741.2672619185314,2704.460456462477,7516.884155332412,0.3288434986856337,0.3276649973663811,1.0741728075918762,0.8372966676046936,119.17533110241769,False,power_law,power_law,hybrid,0.04379310344827586,True,2.7444477834533263,,,hybrid: max_rel_SE=119x (>100.0x),"{""a"": 22.40606100570228, ""b"": 0.3888434472996794, ""c"": 8.02637992957584}","{""a"": 0.8878158971541958, ""b"": 0.016159547292073462, ""c"": 0.12354185127564693}","{""a"": 14.072388583443207, ""b"": 0.031644762810847785, ""c"": 9.439672977993045}","{""a"": 0.5695845430206606, ""b"": 0.0017997836271490485, ""c"": 0.02700156672570677}","{""w"": 0.7655663581862258, ""a"": 29.43684606016138, ""b"": 0.4066523167759434, ""d"": 13.684188191444514, ""g"": 1.561215882829463e-05, ""c"": 5.063710801672979}","{""w"": 18.797741526233246, ""a"": 722.8188997818661, ""b"": 0.03424436658376332, ""d"": 476.4632802146717, ""g"": 0.001860584197585546, ""c"": 369.30984567050643}",T2_mid
2008BARA01,3001,214,17.765913757700204,9.583333333333334,hybrid,hybrid,hybrid,consensus,True,0.6121993898724397,1.7374342604770756,exponential,-0.08334627199035395,0.9335762085291435,-0.11364695134932816,4.282151714362884e-10,True,29,0.9663445518160613,2472.742108241784,2454.7300137134707,6786.356811186919,0.4644262773574279,0.4638901675249528,1.0900401963999589,0.858348420637407,0.7080262908456422,True,2395.1820069072214,2377.169912378908,6613.212178733998,0.47809070997398695,0.47756827825223924,1.0912448434307667,0.874405454045311,0.03945291816790785,True,2366.6034388486983,2330.5912898882807,6498.311964622631,0.48715854078751164,0.4861308023922962,1.0772476946116767,0.8658953431574332,400822.9105940102,False,power_law,hybrid,hybrid,0.5506896551724138,True,3.6359203332725625,power_law: param(s) ['c'] hit LOWER bound; hybrid: param(s) ['c'] hit LOWER bound,,hybrid: max_rel_SE=400823x (>100.0x),"{""a"": 22.87463802846469, ""b"": 0.13308654302299552, ""c"": 2.000000000000145}","{""a"": 0.8832054442689159, ""b"": 0.01770035838780296, ""c"": 1.4160525816913871}","{""a"": 7.0751420442766575, ""b"": 0.003281846873012237, ""c"": 10.367976572086961}","{""a"": 0.17072896295796863, ""b"": 0.00012947843612055605, ""c"": 0.035167802409455946}","{""w"": 0.6121993898724397, ""a"": 22.419735858954464, ""b"": 0.06525341724124913, ""d"": 11.893341467437793, ""g"": 0.004051662568769837, ""c"": 2.0000000003804286}","{""w"": 155439.37012215337, ""a"": 5692441.773910601, ""b"": 0.072959647526026, ""d"": 4767123.743666853, ""g"": 0.00046266371373077466, ""c"": 10.590068550339137}",T2_mid
