solver_id,phase,n,alpha,alpha_r,alpha_ci_lo,alpha_ci_hi,beta
2003BRUC01,full,2782,0.5192479528056942,0.9958441528856822,0.4567277037920939,0.5556934004503477,0.016826769818023005
2003BRUC01,early,1391,0.5270827480682876,0.9945231348744628,0.4364253109449735,0.6006709311847179,-0.0009231985007488083
2003BRUC01,late,1391,0.5061354884557612,0.9883685154937283,0.42486388363744265,0.5303288101318714,-0.0325622255375705
2003DENN01,full,2365,0.6170513149913889,0.9929282471547972,0.574762213196758,0.8345581754763919,0.04836076172641046
2003DENN01,early,1182,0.5138515697518665,0.9937778360309582,0.46133980247295137,0.6746388870171675,0.03757887403716758
2003DENN01,late,1183,0.5752949170094781,0.9965456729596649,0.559249769972158,0.8305093114703772,0.011896577485080962
2005AKKE01,full,2254,0.5582010322284874,0.9974238427380595,0.4779636027552966,0.6140564888463731,0.06653013267913394
2005AKKE01,early,1127,0.5826048791558255,0.9970622046804304,0.4643166928708794,0.6327118803866717,-0.007610464112265321
2005AKKE01,late,1127,0.542668131778527,0.9948982996014109,0.4213715883979892,0.649971688120165,-0.046367562792651085
2005REYN01,full,2416,0.6549013990024521,0.9955435339967645,0.540522112481788,0.7091337161946742,0.06044886279097041
2005REYN01,early,1208,0.616129666063329,0.9954460885141418,0.5405780991954776,0.6965899828441642,0.05544612966349599
2005REYN01,late,1208,0.5655504311269682,0.997438890703752,0.46060543446949015,0.6641006996685758,0.04345064463465371
2006HALC01,full,2260,0.5962163737808635,0.9904134310769934,0.49351220760921216,0.6207305756394479,0.11924745514219921
2006HALC01,early,1130,0.5888389945938626,0.9810202610106101,0.4988703123345253,0.659959967692151,0.1442278220234684
2006HALC01,late,1130,0.45884719384470196,0.9919871636630326,0.4037233767215626,0.5409258878449595,0.11566859486575391
2007GOUL01,full,2422,0.8480977267150877,0.9897430699154678,0.5420861580462897,0.9319025674506551,0.2657141121958234
2007GOUL01,early,1211,0.601535410176573,0.9926405070473859,0.4644105459463478,0.6643441761266422,0.022250004373626946
2007GOUL01,late,1211,0.8769324605076477,0.9795064434793381,0.47722780271557225,0.9752443073336975,0.33783902199469584
2007OEYM01,full,1797,0.504729824364997,0.9966467122820915,0.4291971089121218,0.5550650468881165,0.004700329758734835
2007OEYM01,early,898,0.4617007316987401,0.9910355791932939,0.3968668845343138,0.553224756725901,-0.04525416805368666
2007OEYM01,late,899,0.5579717942783279,0.9969374844420561,0.4759724642129606,0.63621857633529,0.10178187489461141
2008AURO01,full,2797,0.6372029081098647,0.9852513496602212,0.536908438533104,0.7741673773134105,-0.02111005483299629
2008AURO01,early,1398,0.5562223867207002,0.9923032228127325,0.44127271912969507,0.6397438553164186,-0.02432186214317191
2008AURO01,late,1399,0.6104265976658932,0.9800465121835287,0.5180061850890157,0.864001087962946,-0.00479897053634654
2008BARA01,full,3001,0.5526603187875272,0.997045853435914,0.48177321437476134,0.6150770124289626,0.02270189581925829
2008BARA01,early,1500,0.5198229926358686,0.9946722479273369,0.44789156991119,0.6417297807167941,0.03290148768135022
2008BARA01,late,1501,0.5286940998211559,0.9952651219686065,0.4377823422853873,0.597637895779262,-0.005285100983533344
2008VIRO01,full,2118,0.602814684456458,0.9851562371581638,0.47843174827760027,0.6414949231975134,-0.02783336908257459
2008VIRO01,early,1059,0.5341472276253871,0.993519513951257,0.47639878819335457,0.6957479589228162,-0.035390661401020276
2008VIRO01,late,1059,0.47578403748175724,0.9900750412884135,0.3965726249928089,0.547527524898821,-0.016670803007820867
2009HILD01,full,2612,0.6222225251278376,0.9944372505141067,0.5568948805092271,0.702814639305136,0.0588102716828649
2009HILD01,early,1306,0.5629783062636928,0.996358367502632,0.47959724351709315,0.7240251242378805,0.053097902534112125
2009HILD01,late,1306,0.6059430167916707,0.9966860022552274,0.48203866100962744,0.6692273392863495,0.12303336183642534
2009LIUE01,full,3504,0.5646290339163095,0.9965262081800605,0.514906140306641,0.6231449670673485,0.06766066490895384
2009LIUE01,early,1752,0.6002005796074457,0.99759856725375,0.49387065212042514,0.6605193380258253,0.03759961801246672
2009LIUE01,late,1752,0.5753753721514657,0.9944592000924802,0.47642638819877975,0.672362441095492,0.13986390468115975
